clip	bytes	seconds	distinct-frames	last-frame-ink
x11/commits/81d595f3b-after.mp4	52532	1.33	3	5749.4
x11/commits/82630ee6b-after.mp4	104072	1.53	10	10941.1
x11/commits/82630ee6b-before.mp4	68977	1.73	5	8939.6
x11/commits/8553d06d4-after.mp4	115968	1.53	8	11578.6
x11/commits/8553d06d4-before.mp4	115871	1.53	8	11575.0
x11/commits/85e166ac7-after.mp4	78685	1.33	3	9524.6
x11/commits/85e166ac7-before.mp4	86577	1.33	3	10106.4
x11/commits/880794c05-after.mp4	39073	1.33	3	4514.1
x11/commits/8981629d1-after.mp4	26939	6.13	44	4530.1
x11/commits/8afbbfe66-after.mp4	90835	1.53	4	10179.6
x11/commits/8afbbfe66-before.mp4	93337	1.53	5	10588.6
x11/commits/8baebe34e-after.mp4	42233	1.33	3	7275.4
x11/commits/8baebe34e-before.mp4	42369	1.33	3	7287.4
x11/commits/8e6c92166-after.mp4	131072	6.13	46	6080.3
x11/commits/907edbc2b-after.mp4	569626	10.60	30	3082.7
x11/commits/929469b5f-after.mp4	95637	1.33	2	10577.4
x11/commits/929469b5f-before.mp4	100197	1.53	3	10977.6
x11/commits/929eabeac-after.mp4	84434	1.33	2	10160.4
x11/commits/929eabeac-before.mp4	26712	1.33	3	5590.5
x11/commits/92a895e36-after.mp4	441619	7.47	17	2026.0
x11/commits/97e29d9e7-after.mp4	68749	1.33	3	9141.7
x11/commits/97e29d9e7-before.mp4	60652	1.33	3	8444.0
x11/commits/9a82206f9-after.mp4	901877	10.33	21	3679.7
x11/commits/9be29f814-after.mp4	96327	1.33	3	10536.2
x11/commits/9be29f814-before.mp4	86422	1.33	3	10096.4
x11/commits/9beabe14a-after.mp4	5883	1.47	3	2001.1
x11/commits/9beabe14a-before.mp4	6035	1.53	3	2040.6
x11/commits/a16b52cc8-after.mp4	844913	11.40	23	2941.1
x11/commits/a87aa3b99-after.mp4	881781	10.33	22	2580.1
x11/commits/aa2d62dc7-after.mp4	27513	1.33	2	5822.6
x11/commits/aa2d62dc7-before.mp4	60294	1.87	10	8371.2
x11/commits/ab7f1b8be-after.mp4	53959	1.73	3	8058.9
x11/commits/ab7f1b8be-before.mp4	54617	1.53	4	7925.9
x11/commits/ad14fca53-after.mp4	798058	11.33	35	2655.8
x11/commits/b02f7dc2d-after.mp4	50346	1.73	4	7868.2
x11/commits/b02f7dc2d-before.mp4	27668	1.33	3	5696.2
x11/commits/b30f10d2f-after.mp4	97435	1.73	4	10819.3
x11/commits/b30f10d2f-before.mp4	89724	1.53	4	10382.6
x11/commits/b373c7c55-after.mp4	30055	1.33	3	5978.1
x11/commits/b373c7c55-before.mp4	81457	1.53	4	9786.8
x11/commits/b6a6bd07b-after.mp4	78522	1.33	3	9589.8
x11/commits/b6a6bd07b-before.mp4	81312	1.33	3	9741.7
x11/commits/b852f2543-after.mp4	36378	1.33	2	6605.5
x11/commits/b852f2543-before.mp4	64463	1.33	3	8743.7
x11/commits/b88806395-after.mp4	444392	7.33	53	8615.4
x11/commits/b8d9af818-after.mp4	112683	1.53	8	11535.3
x11/commits/b8d9af818-before.mp4	23728	1.53	2	5107.7
x11/commits/ba22b669a-after.mp4	609399	10.93	35	2852.3
x11/commits/bb46832f3-after.mp4	1163424	11.07	28	2976.0
x11/commits/bbc96f153-after.mp4	109879	1.73	3	11372.5
x11/commits/bbc96f153-before.mp4	61735	1.33	4	8460.9
x11/commits/bc9e33085-after.mp4	95377	1.33	3	10785.1
x11/commits/bc9e33085-before.mp4	76135	1.33	3	9507.1
x11/commits/bfc3ed7b5-after.mp4	68336	1.33	4	9117.4
x11/commits/bfc3ed7b5-before.mp4	53896	1.33	5	7899.4
x11/commits/c18816b62-after.mp4	86879	1.53	4	10080.1
x11/commits/c18816b62-before.mp4	79350	1.53	4	9717.8
x11/commits/c511ae76b-after.mp4	93768	1.73	4	10600.1
x11/commits/c511ae76b-before.mp4	84610	1.33	4	9935.3
x11/commits/c823e9828-after.mp4	90867	1.73	4	10292.4
x11/commits/c823e9828-before.mp4	57176	1.33	2	8193.7
x11/commits/ca29178e8-after.mp4	910903	11.53	30	6125.0
x11/commits/ca919629b-after.mp4	18777	1.33	3	2669.1
x11/commits/ce6240325-after.mp4	1303055	13.00	40	6154.8
x11/commits/d0226c921-after.mp4	65885	1.33	3	8864.4
x11/commits/d0226c921-before.mp4	77956	1.53	3	9619.9
x11/commits/d12a2639f-after.mp4	19527	1.33	3	4526.3
x11/commits/d12a2639f-before.mp4	19650	1.33	3	4543.0
x11/commits/d2eb9dec2-after.mp4	92987	1.33	4	10692.5
x11/commits/d2eb9dec2-before.mp4	75438	1.73	3	9450.1
x11/commits/d4d2a4290-after.mp4	57282	1.33	3	8448.0
x11/commits/d4d2a4290-before.mp4	55841	1.27	2	8192.8
x11/commits/d6293b7b1-after.mp4	61935	1.33	3	8362.9
x11/commits/d73987d4a-after.mp4	12892	1.33	3	2964.4
x11/commits/d92669c37-after.mp4	103363	1.73	9	10951.1
x11/commits/d92669c37-before.mp4	27293	1.33	3	5664.6
x11/commits/db946f360-after.mp4	113927	1.53	10	11579.9
x11/commits/db946f360-before.mp4	62225	1.33	4	8588.6
x11/commits/e244a33d7-after.mp4	93855	1.73	4	10600.2
x11/commits/e244a33d7-before.mp4	84641	1.33	4	9939.1
x11/commits/e414827fc-after.mp4	1219172	13.60	53	5214.1
x11/commits/e7aaaea3c-after.mp4	97845	1.33	3	10808.7
x11/commits/e7aaaea3c-before.mp4	93029	1.73	4	10518.7
x11/commits/e86818539-after.mp4	82798	1.33	4	10020.2
x11/commits/e86818539-before.mp4	81654	1.33	3	10039.7
x11/commits/ed8cd31b2-after.mp4	122544	1.53	10	12073.0
x11/commits/ed8cd31b2-before.mp4	38417	1.33	2	6630.1
x11/commits/f5e0aad58-after.mp4	6863	2.40	11	2013.6
x11/commits/f5e0aad58-before.mp4	6799	2.40	9	2052.2
x11/commits/f60036e6f-after.mp4	175369	1.53	10	12999.0
x11/commits/f9160c99c-after.mp4	112066	1.53	10	11492.0
x11/commits/f9160c99c-before.mp4	79066	1.33	2	9852.3
x11/context-gauge.mp4	265652	15.40	133	2401.4
x11/demo-hd.mp4	17211341	428.13	6504	6198.8
x11/ladder/overlay-motion.mp4	919401	19.47	430	8321.9
x11/long-session-72m.mp4	643873	16.40	223	7581.4
x11/long-session-fresh.mp4	463044	36.15	147	8199.9
x11/mouse-probe.mp4	22228	5.67	41	390.5
x11/overlay-fold.mp4	361407	10.40	79	1722.0
x11/overlay-motion.mp4	987661	46.47	109	7946.0
x11/pane-bands.mp4	2726854	100.80	955	3880.1
x11/plan-scroll.mp4	1882783	17.07	165	7741.5
x11/popup-grow.mp4	292216	13.32	69	1807.3
x11/session-local-llm.mp4	1157435	79.77	1096	4227.6
x11/settings-pointer.mp4	1695446	93.45	257	5287.6
x11/sidebar-crossfade.mp4	519906	19.43	178	1711.5
x11/subagent-lanes.mp4	921745	26.35	172	1711.4
x11/sweep/overlay-motion.mp4	888598	16.78	450	8322.8
x11/tallhud-after/tall-hud.mp4	43072	4.37	10	663.3
x11/tallhud-before/tall-hud.mp4	11763	3.47	8	649.6
x11/xdiag.mp4	7741	2.67	5	624.4
